Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
India,"2,857",94.82%,"2,709",64.65%,1.85,0:00:47,0,2857.00 ,0.00%
United States,"1,597",92.55%,"1,478",59.49%,2.13,0:00:58,0,1597.00 ,0.00%
United Arab Emirates,212,96.23%,204,56.13%,1.86,0:01:07,0,1212.00 ,0.00%
United Kingdom,197,90.36%,178,48.22%,2.66,0:01:05,0,1197.00 ,0.00%
Canada,131,81.68%,107,44.27%,2.86,0:01:34,0,1131.00 ,0.00%
Pakistan,122,91.80%,112,42.62%,2.76,0:01:51,0,1122.00 ,0.00%
Germany,117,92.31%,108,58.97%,3.53,0:01:41,0,1117.00 ,0.00%
France,110,86.36%,95,52.73%,2.6,0:01:44,0,1110.00 ,0.00%
Sri Lanka,107,90.65%,97,55.14%,2.18,0:00:47,0,1107.00 ,0.00%
Netherlands,103,91.26%,94,47.57%,3,0:01:13,0,1103.00 ,0.00%
Russia,92,85.87%,79,52.17%,1.83,0:01:03,0,1092.00 ,0.00%
Spain,90,62.22%,56,50.00%,3.83,0:02:51,0,1090.00 ,0.00%
Kenya,88,95.45%,84,71.59%,1.75,0:00:33,0,1088.00 ,0.00%
Turkey,68,86.76%,59,50.00%,4.5,0:02:23,0,1068.00 ,0.00%
Iran,67,91.04%,61,40.30%,2.91,0:01:27,0,1067.00 ,0.00%
Bangladesh,63,95.24%,60,50.79%,2.54,0:01:18,0,1063.00 ,0.00%
Egypt,57,85.96%,49,47.37%,5.28,0:05:04,0,1057.00 ,0.00%
(not set),57,92.98%,53,59.65%,2.39,0:00:47,0,1057.00 ,0.00%
Australia,56,89.29%,50,46.43%,2.59,0:01:37,0,1056.00 ,0.00%
Philippines,55,92.73%,51,67.27%,2.27,0:01:19,0,1055.00 ,0.00%
Poland,53,88.68%,47,49.06%,3.77,0:01:48,0,1053.00 ,0.00%
Sudan,52,96.15%,50,63.46%,1.83,0:02:26,0,1052.00 ,0.00%
Indonesia,49,93.88%,46,63.27%,1.98,0:01:00,0,1049.00 ,0.00%
Japan,48,68.75%,33,56.25%,3,0:01:06,0,1048.00 ,0.00%
Italy,47,82.98%,39,31.91%,6.49,0:03:16,0,1047.00 ,0.00%
,"7,520",92.02%,"6,920",58.36%,2.28,0:01:07,0,8520.00 ,0.00%
