UPC1, Item,Description, Cost
1223,137512,Earrings,$3.75 
1813,375020,,$7.50 
3752,257518,Necklace,$5.75 
45000,325012,,$2.50 
117508,117508,,$1.75 
147516,147516,,$4.75 
420322,      20-322,,$13.20 
450014,450014,,$5.00 
577524,577524,,$7.75 
781001,108168,Shoes,$1.68 
793001,116828,Blouse,$16.80 
4112316,112316,,$3.16 
4592528,592528,,$9.25 
4760010,11,,-
7810001,31104,Red hat,$23.17 
41168028,116828,,$16.80 
41475160,147516,,$4.75 
127890244,122110,,$2.21 
400131312,131312,,$3.13 
400138814,138814,,$3.88 
400155016,155016,,$5.50 
1039550399,771500,,$18.75 
1278902108,515301,,$15.50 
1278902109,141604,,$15.00 
1278902272,141604,,$15.00 
1278902275,602300,,$19.75 
1278902395,141604,,$15.00 
1278902396,50101,,-
1278902414,6346401,,$25.75 
1396435525,141604,,$15.00 
1503837226,141604,,$15.00 
8834353529,515301,,$15.50 
8834353558,602300,,$19.75 
9103711990,627029,,$16.75 
9103736080,260403,Gloves,$35.00 
9265701836,627029,,$16.75 
9265702322,50101,,-
9265702469,260405,,$35.00 
9265702469,260601,,$35.00 
9265702534,11435116,,$14.70 
9492281667,5102528,,-
9492281681,194801,,$35.00 
40000000380,630010,Hat,$3.00 
40000000381,635012,,$3.50 
40000000383,31111,,-
40000000385,31116,,-
40000000388,167901,,$56.00 
